,Mail_Type,Mail_Message,transformed_text
829,ham,i am in office  whats the matter  msg me now i will call you at break   ,offic what matter msg call break
830,ham,yeah there s barely enough room for the two of us  x has too many fucking shoes  sorry man  see you later,yeah bare enough room two us x mani fuck shoe sorri man see later
831,ham,u reach orchard already  u wan 2 go buy tickets first ,u reach orchard alreadi u wan 2 go buy ticket first
832,ham,i am real  baby  i want to bring out your inner tigress   ,real babi want bring inner tigress
833,ham,no da if you run that it activate the full version da ,da run activ full version da
834,ham, ah poor baby hope urfeeling bettersn luv  probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx    ,ah poor babi hope urfeel bettersn luv probthat overdos work hey go care spk 2 u sn lot lovejen xxx
835,ham,stop the story  i ve told him i ve returned it and he s saying i should not re order it ,stop stori told return say order
836,spam,talk sexy   make new friends or fall in love in the worlds most discreet text dating service  just text vip to 83110 and see who you could meet ,talk sexi make new friend fall love world discreet text date servic text vip 83110 see could meet
837,ham,going to take your babe out  ,go take babe
838,ham,hai ana tomarrow am coming on morning    lt decimal gt   ill be there in sathy then we ll go to rto office  reply me after came to home ,hai ana tomarrow come morn lt decim gt ill sathi go rto offic repli came home
839,ham,spoons it is then okay ,spoon okay
840,ham,did he just say somebody is named tampa,say somebodi name tampa
841,ham,in work now  going have in few min ,work go min
842,ham,your brother is a genius,brother geniu
843,ham,sorry  i guess whenever i can get a hold of my connections  maybe an hour or two  i ll text you,sorri guess whenev get hold connect mayb hour two text
844,ham,did u find out what time the bus is at coz i need to sort some stuff out ,u find time bu coz need sort stuff
845,ham,dude ive been seeing a lotta corvettes lately,dude ive see lotta corvett late
846,spam,congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call 09061104283 ts cs www smsco net   1 50pm approx 3mins,congratul ur award either yr suppli cd virgin record mysteri gift guarante call 09061104283 ts cs www smsco net 1 50pm approx 3min
847,ham,same here  but i consider walls and bunkers and shit important just because i never play on peaceful but i guess your place is high enough that it don t matter,consid wall bunker shit import never play peac guess place high enough matter
848,spam,private  your 2003 account statement for 07808 xxxxxx shows 800 un redeemed s  i  m  points  call 08719899217 identifier code  41685 expires 07 11 04,privat 2003 account statement 07808 xxxxxx show 800 un redeem point call 08719899217 identifi code 41685 expir 07 11 04
849,spam,hello  we need some posh birds and chaps to user trial prods for champneys  can i put you down  i need your address and dob asap  ta r,hello need posh bird chap user trial prod champney put need address dob asap ta r
850,spam,what do u want for xmas  how about 100 free text messages   a new video phone with half price line rental  call free now on 0800 0721072 to find out more ,u want xma 100 free text messag new video phone half price line rental call free 0800 0721072 find
851,ham,well am officially in a philosophical hole  so if u wanna call am at home ready to be saved ,well offici philosoph hole u wan na call home readi save
852,ham,its going good   no problem  but still need little experience to understand american customer voice   ,go good problem still need littl experi understand american custom voic
853,ham,i ll text you when i drop x off,text drop x
854,ham,ugh its been a long day  i m exhausted  just want to cuddle up and take a nap,ugh long day exhaust want cuddl take nap
855,ham,talk with yourself atleast once in a day       otherwise you will miss your best friend in this world        shakespeare  shesil   lt   gt ,talk atleast day otherwis miss best friend world shakespear shesil lt gt
856,spam,shop till u drop  is it you  either 10k  5k    500 cash or   100 travel voucher  call now  09064011000  ntt po box cr01327bt fixedline cost 150ppm mobile vary,shop till u drop either 10k 5k 500 cash 100 travel voucher call 09064011000 ntt po box cr01327bt fixedlin cost 150ppm mobil vari
857,ham,are you in castor  you need to see something,castor need see someth
858,spam,sunshine quiz wkly q  win a top sony dvd player if u know which country liverpool played in mid week  txt ansr to 82277    1 50 sp tyrone,sunshin quiz wkli q win top soni dvd player u know countri liverpool play mid week txt ansr 82277 1 50 sp tyron
859,spam,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09058094565,u secret admir look 2 make contact u find r reveal think ur special call 09058094565
860,spam,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09065171142 stopsms 08,u secret admir look 2 make contact u find r reveal think ur special call 09065171142 stopsm 08
861,spam,reminder  you have not downloaded the content you have already paid for  goto http   doit  mymoby  tv  to collect your content ,remind download content alreadi paid goto http doit mymobi tv collect content
862,ham,see  i knew giving you a break a few times woul lead to you always wanting to miss curfew  i was gonna gibe you  til one  but a midnight movie is not gonna get out til after 2  you need to come home  you need to getsleep and  if anything  you need to b studdying ear training ,see knew give break time woul lead alway want miss curfew gon na gibe til one midnight movi gon na get til 2 need come home need getsleep anyth need b studdi ear train
863,ham,i love to give massages  i use lots of baby oil    what is your fave position ,love give massag use lot babi oil fave posit
864,ham,dude we should go sup again,dude go sup
865,ham,yoyyooo u know how to change permissions for a drive in mac  my usb flash drive,yoyyooo u know chang permiss drive mac usb flash drive
866,ham,gibbs unsold mike hussey,gibb unsold mike hussey
867,ham,i like to talk pa but am not able to  i dont know y ,like talk pa abl dont know
868,ham,y dun cut too short leh  u dun like ah  she failed  she s quite sad ,dun cut short leh u dun like ah fail quit sad
869,ham,you unbelievable faglord,unbeliev faglord
870,ham,wife how she knew the time of murder exactly,wife knew time murder exactli
871,ham,why do you ask princess ,ask princess
872,ham,i am great princess  what are you thinking about me    ,great princess think
873,ham,nutter  cutter  ctter  cttergg  cttargg  ctargg  ctagg  ie you,nutter cutter ctter cttergg cttargg ctargg ctagg ie
874,ham,it s ok i noe u re busy but i m really too bored so i msg u  i oso dunno wat colour she choose 4 me one ,ok noe u busi realli bore msg u oso dunno wat colour choos 4 one
875,ham,doesn t g have class early tomorrow and thus shouldn t be trying to smoke at   lt   gt ,g class earli tomorrow thu tri smoke lt gt
876,ham,superb thought   be grateful that u dont have everything u want  that means u still have an opportunity to be happier tomorrow than u are today       ,superb thought grate u dont everyth u want mean u still opportun happier tomorrow u today
877,ham,hope you are having a good week  just checking in,hope good week check
878,ham,i m used to it  i just hope my agents don t drop me since i ve only booked a few things this year  this whole me in boston  them in nyc was an experiment ,use hope agent drop sinc book thing year whole boston nyc experi
879,ham,thursday night  yeah  sure thing  we ll work it out then,thursday night yeah sure thing work
880,ham,probably money worries  things are coming due and i have several outstanding invoices for work i did two and three months ago ,probabl money worri thing come due sever outstand invoic work two three month ago
881,ham,how is it possible to teach you  and where ,possibl teach
882,ham,i wonder if your phone battery went dead   i had to tell you  i love you babe,wonder phone batteri went dead tell love babe
883,ham,lovely smell on this bus and it ain t tobacco    ,love smell bu tobacco
884,ham,we re all getting worried over here  derek and taylor have already assumed the worst,get worri derek taylor alreadi assum worst
885,ham,hey what s up charles sorry about the late reply ,hey charl sorri late repli
886,spam,all the lastest from stereophonics  marley  dizzee racal  libertines and the strokes  win nookii games with flirt   click themob wap bookmark or text wap to 82468,lastest stereophon marley dizze racal libertin stroke win nookii game flirt click themob wap bookmark text wap 82468
887,ham,i ll give her once i have it  plus she said grinule greet you whenever we speak,give plu said grinul greet whenev speak
888,ham,white fudge oreos are in stores,white fudg oreo store
889,spam,january male sale  hot gay chat now cheaper  call 08709222922  national rate from 1 5p min cheap to 7 8p min peak  to stop texts call 08712460324  10p min ,januari male sale hot gay chat cheaper call 08709222922 nation rate 1 5p min cheap 7 8p min peak stop text call 08712460324 10p min
890,ham,my love   how come it took you so long to leave for zaher s  i got your words on ym and was happy to see them but was sad you had left  i miss you,love come took long leav zaher got word ym happi see sad left miss
891,ham,i am sorry it hurt you ,sorri hurt
892,ham,can t  i feel nauseous  i m so pissed  i didn t eat any sweets all week cause today i was planning to pig out  i was dieting all week  and now i m not hungry   ,feel nauseou piss eat sweet week caus today plan pig diet week hungri
893,ham,ok lor but not too early  me still having project meeting now ,ok lor earli still project meet
894,ham,call me da  i am waiting for your call ,call da wait call
895,ham,i could ask carlos if we could get more if anybody else can chip in,could ask carlo could get anybodi els chip
896,ham,was actually about to send you a reminder today  have a wonderful weekend,actual send remind today wonder weekend
897,ham,when people see my msgs  they think iam addicted to msging    they are wrong  bcoz they don  t know that iam addicted to my sweet friends     bslvyl,peopl see msg think iam addict msging wrong bcoz know iam addict sweet friend bslvyl
898,ham,hey you gave them your photo when you registered for driving ah  tmr wanna meet at yck  ,hey gave photo regist drive ah tmr wan na meet yck
899,ham,dont talk to him ever ok its my word ,dont talk ever ok word
900,ham,when u wana see it then,u wana see
901,ham,on ma way to school  can you pls send me ashley s number,way school pl send ashley number
902,ham,it shall be fine  i have avalarr now  will hollalater,shall fine avalarr hollalat
903,ham,she went to attend another two rounds today  but still did t reach home  ,went attend anoth two round today still reach home
904,ham,actually i deleted my old website  now i m blogging at magicalsongs blogspot com,actual delet old websit blog magicalsong blogspot com
905,ham,k  wait chikku  il send aftr   lt   gt  mins,k wait chikku il send aftr lt gt min
906,ham,but i m on a diet  and i ate 1 too many slices of pizza yesterday  ugh i m always on a diet ,diet ate 1 mani slice pizza yesterday ugh alway diet
907,ham,k  i will give my kvb acc details  ,k give kvb acc detail
908,ham,oh all have to come ah ,oh come ah
909,spam,money    you r a lucky winner   2 claim your prize text money 2 88600 over   1million to give away   ppt150x3 normal text rate box403 w1t1jy,money r lucki winner 2 claim prize text money 2 88600 1million give away ppt150x3 normal text rate box403 w1t1ji
910,ham,i m really sorry i won t b able 2 do this friday hope u can find an alternative hope yr term s going ok   ,realli sorri b abl 2 friday hope u find altern hope yr term go ok
911,ham,congratulations ore mo owo re wa  enjoy it and i wish you many happy moments to and fro wherever you go,congratul ore mo owo wa enjoy wish mani happi moment fro wherev go
912,ham,so do you have samus shoulders yet,samu shoulder yet
913,ham,what time you think you ll have it  need to know when i should be near campus,time think need know near campu
914,spam,dear matthew please call 09063440451 from a landline  your complimentary 4 lux tenerife holiday or   1000 cash await collection  ppm150 sae t cs box334 sk38xh ,dear matthew pleas call 09063440451 landlin complimentari 4 lux tenerif holiday 1000 cash await collect ppm150 sae cs box334 sk38xh
915,ham,then dun wear jeans lor   ,dun wear jean lor
916,ham,since when  which side  any fever  any vomitin ,sinc side fever vomitin
917,ham,k  k are you in college ,k k colleg
918,spam,urgent  call 09061749602 from landline  your complimentary 4  tenerife holiday or   10 000 cash await collection sae t cs box 528 hp20 1yf 150ppm 18 ,urgent call 09061749602 landlin complimentari 4 tenerif holiday 10 000 cash await collect sae cs box 528 hp20 1yf 150ppm 18
919,ham,better  made up for friday and stuffed myself like a pig yesterday  now i feel bleh  but at least its not writhing pain kind of bleh ,better made friday stuf like pig yesterday feel bleh least writh pain kind bleh
920,ham,no we sell it all so we ll have tons if coins  then sell our coins to someone thru paypal  voila  money back in life pockets  ,sell ton coin sell coin someon thru paypal voila money back life pocket
921,ham,theyre doing it to lots of places  only hospitals and medical places are safe ,theyr lot place hospit medic place safe
922,spam,how about getting in touch with folks waiting for company  just txt back your name and age to opt in  enjoy the community  150p sms ,get touch folk wait compani txt back name age opt enjoy commun 150p sm
923,ham,and also i ve sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,also sorta blown coupl time recent id rather text blue look weed
924,ham,i sent my scores to sophas and i had to do secondary application for a few schools  i think if you are thinking of applying  do a research on cost also  contact joke ogunrinde  her school is one me the less expensive ones,sent score sopha secondari applic school think think appli research cost also contact joke ogunrind school one less expens one
925,ham,i cant wait to see you  how were the photos were useful    ,cant wait see photo use
926,spam,ur cash balance is currently 500 pounds   to maximize ur cash in now send go to 86688 only 150p msg  cc  08718720201 po box 114 14 tcr w1,ur cash balanc current 500 pound maxim ur cash send go 86688 150p msg cc 08718720201 po box 114 14 tcr w1
927,ham,hey i booked the kb on sat already    what other lessons are we going for ah  keep your sat night free we need to meet and confirm our lodging ,hey book kb sat alreadi lesson go ah keep sat night free need meet confirm lodg
928,ham,chk in ur belovd ms dict,chk ur belovd ms dict
929,ham,is that what time you want me to come ,time want come
930,ham,awesome  lemme know whenever you re around,awesom lem know whenev around
931,ham,shb b ok lor    thanx   ,shb b ok lor thanx
932,ham,beautiful truth against gravity   read carefully   our heart feels light when someone is in it   but it feels very heavy when someone leaves it     good night ,beauti truth graviti read care heart feel light someon feel heavi someon leav good night
933,ham,also remember to get dobby s bowl from your car,also rememb get dobbi bowl car
934,spam,filthy stories and girls waiting for your,filthi stori girl wait
935,ham,sorry i now then c ur msg    yar lor so poor thing    but only 4 one night    tmr u ll have a brand new room 2 sleep in   ,sorri c ur msg yar lor poor thing 4 one night tmr u brand new room 2 sleep
936,ham,love isn t a decision  it s a feeling  if we could decide who to love  then  life would be much simpler  but then less magical,love decis feel could decid love life would much simpler less magic
937,ham,welp apparently he retired,welp appar retir
938,ham,my sort code is  and acc no is   the bank is natwest  can you reply to confirm i ve sent this to the right person ,sort code acc bank natwest repli confirm sent right person
939,ham,where  ,
940,ham,u sure u can t take any sick time ,u sure u take sick time
941,spam,urgent  we are trying to contact u  todays draw shows that you have won a   800 prize guaranteed  call 09050001808 from land line  claim m95  valid12hrs only,urgent tri contact u today draw show 800 prize guarante call 09050001808 land line claim m95 valid12hr
942,ham,yo chad which gymnastics class do you wanna take  the site says christians class is full  ,yo chad gymnast class wan na take site say christian class full
943,ham,or better still can you catch her and let ask her if she can sell   lt   gt   for me ,better still catch let ask sell lt gt
944,ham,i am not sure about night menu      i know only about noon menu,sure night menu know noon menu
945,ham,what do u want when i come back  a beautiful necklace as a token of my heart for you thats what i will give but only to my wife of my liking be that and see  no one can give you that dont call me i will wait till i come ,u want come back beauti necklac token heart that give wife like see one give dont call wait till come
946,ham,are you willing to go for aptitude class ,will go aptitud class
947,ham,it wont b until 2 15 as trying 2 sort house out  is that ok ,wont b 2 15 tri 2 sort hous ok
948,ham,yar lor he wan 2 go c horse racing today mah  so eat earlier lor  i ate chicken rice  u ,yar lor wan 2 go c hors race today mah eat earlier lor ate chicken rice u
949,ham,haha awesome  omw back now then,haha awesom omw back
950,ham,yup i thk so until e shop closes lor ,yup thk e shop close lor
951,ham,what is your account number ,account number
952,ham,eh u send wrongly lar   ,eh u send wrongli lar
953,ham,hey no i ad a crap nite was borin without ya 2 boggy with me u boring biatch  thanx but u wait til nxt time il ave ya ,hey ad crap nite borin without ya 2 boggi u bore biatch thanx u wait til nxt time il ave ya
954,ham,ok i shall talk to him,ok shall talk
955,ham,dont hesitate  you know this is the second time she has had weakness like that  so keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,dont hesit know second time weak like keep notebook eat day anyth chang day sure noth
956,ham,hey you can pay  with salary de  only   lt   gt   ,hey pay salari de lt gt
957,ham,another month  i need chocolate weed and alcohol ,anoth month need chocol weed alcohol
958,ham,if he started searching he will get job in few days he have great potential and talent ,start search get job day great potenti talent
959,ham,reckon need to be in town by eightish to walk from   carpark ,reckon need town eightish walk carpark
960,spam,congrats  2 mobile 3g videophones r yours  call 09063458130 now  videochat wid your mates  play java games  dload polyph music  noline rentl ,congrat 2 mobil 3g videophon r call 09063458130 videochat wid mate play java game dload polyph music nolin rentl
961,ham,look at the fuckin time  what the fuck you think is up,look fuckin time fuck think
962,ham,yo guess what i just dropped,yo guess drop
963,ham,carlos says he ll be at mu in   lt   gt   minutes,carlo say mu lt gt minut
964,ham,i m in office now   i will call you   lt   gt   min  ,offic call lt gt min
965,ham,geeee     i miss you already  you know   your all i can think about  fuck  i can t wait till next year when we will be together      loving kiss ,geeee miss alreadi know think fuck wait till next year togeth love kiss
966,ham,yun ah the ubi one say if    wan call by tomorrow call 67441233 look for irene ere only got bus8 22 65 61 66 382  ubi cres ubi tech park 6ph for 1st 5wkg days   n,yun ah ubi one say wan call tomorrow call 67441233 look iren ere got bus8 22 65 61 66 382 ubi cre ubi tech park 6ph 1st 5wkg day n
967,ham,ugh  gotta drive back to sd from la  my butt is sore ,ugh got ta drive back sd la butt sore
968,ham,26th of july,26th juli
969,ham,hi im having the most relaxing time ever  we have to get up at 7am every day  was the party good the other night  i get home tomorrow at 5ish ,hi im relax time ever get 7am everi day parti good night get home tomorrow 5ish
970,ham,up to          wan come then come lor    but i din c any stripes skirt   ,wan come come lor din c stripe skirt
971,ham,the xmas story is peace   the xmas msg is love   the xmas miracle is jesus   hav a blessed month ahead  amp  wish u merry xmas   ,xma stori peac xma msg love xma miracl jesu hav bless month ahead amp wish u merri xma
972,ham,i can t  i don t have her number ,number
973,ham,change again    it s e one next to escalator   ,chang e one next escal
974,ham,yetunde i m in class can you not run water on it to make it ok  pls now ,yetund class run water make ok pl
975,ham,not a lot has happened here  feels very quiet  beth is at her aunts and charlie is working lots  just me and helen in at the mo  how have you been  ,lot happen feel quiet beth aunt charli work lot helen mo
976,ham,then    wait 4 me at bus stop aft ur lect lar  if i dun c    then i go get my car then come back n pick    ,wait 4 bu stop aft ur lect lar dun c go get car come back n pick
977,ham,aight will do  thanks again for comin out,aight thank comin
978,ham,no  but heard abt tat  ,heard abt tat
979,ham, lt   gt   am i think  should say on syllabus,lt gt think say syllabu
980,ham,umma  did she say anything,umma say anyth
981,ham,give me a sec to think think about it,give sec think think
982,spam,panasonic   bluetoothhdset free  nokia free  motorola free   doublemins   doubletxt on orange contract  call mobileupd8 on 08000839402 or call 2optout,panason bluetoothhdset free nokia free motorola free doublemin doubletxt orang contract call mobileupd8 08000839402 call 2optout
983,ham,i don t quite know what to do  i still can t get hold of anyone  i cud pick you up bout 7 30pm and we can see if they re in the pub ,quit know still get hold anyon cud pick bout 7 30pm see pub
984,ham,poyyarikatur kolathupalayam unjalur post erode dis   lt   gt   ,poyyarikatur kolathupalayam unjalur post erod di lt gt
985,ham,dear hero i am leaving to qatar tonite for an apt opportunity pls do keep in touch at   lt email gt   kerala,dear hero leav qatar tonit apt opportun pl keep touch lt email gt kerala
986,ham,lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am,lol would mom would fit tell whole famili crazi terribl
987,ham,i just got home babe  are you still awake  ,got home babe still awak
988,ham,i dunno they close oredi not       v ma fan   ,dunno close oredi v fan
989,ham,just buy a pizza  meat lovers or supreme  u get to pick ,buy pizza meat lover suprem u get pick
990,ham,ya  told  she was asking wats matter ,ya told ask wat matter
991,ham,dear regret i cudnt pick call drove down frm ctla now at cochin home left mobile in car  ente style ishtamayoo happy bakrid ,dear regret cudnt pick call drove frm ctla cochin home left mobil car ent style ishtamayoo happi bakrid
992,spam,free for 1st week  no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www getzed co uk pobox 36504 w45wq norm150p tone 16 ,free 1st week no1 nokia tone 4 ur mob everi week txt nokia 8007 get txting tell ur mate www getz co uk pobox 36504 w45wq norm150p tone 16
993,ham,shall i send that exe to your mail id ,shall send exe mail id
994,ham,nope watching tv at home    not going out  v bored   ,nope watch tv home go v bore
995,ham,don know  wait i will check it ,know wait check
996,ham,good afternoon on this glorious anniversary day  my sweet j    i hope this finds you happy and content  my prey  i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers     you cougar pen,good afternoon gloriou anniversari day sweet j hope find happi content prey think send teas kiss across sea coax imag fond souveni cougar pen
997,spam,guess what  somebody you know secretly fancies you  wanna find out who it is  give us a call on 09065394514 from landline datebox1282essexcm61xn 150p min 18,guess somebodi know secretli fanci wan na find give us call 09065394514 landlin datebox1282essexcm61xn 150p min 18
998,ham,we still on for tonight ,still tonight
999,ham,may i call you later pls,may call later pl
1000,ham,hasn t that been the pattern recently crap weekends ,pattern recent crap weekend
1001,ham,i have a sore throat  it s scratches when i talk,sore throat scratch talk
1002,ham,yes da  any plm at ur office,ye da plm ur offic
1003,ham,are you not around or just still asleep   v,around still asleep v
1004,ham,lol you forgot it eh   yes  i ll bring it in babe,lol forgot eh ye bring babe
1005,ham,its good  we ll find a way,good find way
1006,ham,can not use foreign stamps in this country  good lecture  ,use foreign stamp countri good lectur
1007,ham,yup bathe liao   ,yup bath liao
1008,ham,happy new year my no 1 man,happi new year 1 man
1009,ham,oh mr sheffield  you wanna play that game  okay  you re the boss and i m the nanny  you give me a raise and i ll give you one  ,oh mr sheffield wan na play game okay boss nanni give rais give one
1010,ham,zoe it just hit me 2 im fucking shitin myself il defo try my hardest 2 cum 2morow luv u millions lekdog,zoe hit 2 im fuck shitin il defo tri hardest 2 cum 2morow luv u million lekdog
1011,ham,hello baby  did you get back to your mom s   are you setting up the computer now   filling your belly   how goes it loverboy   i miss you already      sighs ,hello babi get back mom set comput fill belli goe loverboy miss alreadi sigh
1012,ham,no my blankets are sufficient  thx,blanket suffici thx
1013,ham,naughty little thought   its better to flirt  flirt n flirt  rather than loving someone n gettin hurt  hurt n hurt       gud nyt,naughti littl thought better flirt flirt n flirt rather love someon n gettin hurt hurt n hurt gud nyt
1014,ham,edison has rightly said   a fool can ask more questions than a wise man can answer   now you know why all of us are speechless during viva   gm,edison rightli said fool ask question wise man answer know us speechless viva gm
1015,ham,they just talking thats it de  they wont any other ,talk that de wont
1016,ham,today am going to college so am not able to atten the class ,today go colleg abl atten class
1017,ham,i m in class  will holla later,class holla later
1018,ham,mmm thats better now i got a roast down me  i  d b better if i had a few drinks down me 2  good indian ,mmm that better got roast b better drink 2 good indian
1019,spam,we know someone who you know that fancies you  call 09058097218 to find out who  pobox 6  ls15hb 150p,know someon know fanci call 09058097218 find pobox 6 ls15hb 150p
1020,ham,come round  it s   ,come round
1021,ham,do 1 thing  change that sentence into   because i want 2 concentrate in my educational career im leaving here     ,1 thing chang sentenc want 2 concentr educ career im leav
1022,spam,1000 s flirting now  txt girl or bloke   ur name   age  eg girl zoe 18 to 8007 to join and get chatting ,1000 flirt txt girl bloke ur name age eg girl zoe 18 8007 join get chat
1023,ham,i walked an hour 2 c u  doesn  t that show i care y wont u believe im serious ,walk hour 2 c u show care wont u believ im seriou
1024,spam,18 days to euro2004 kickoff  u will be kept informed of all the latest news and results daily  unsubscribe send get euro stop to 83222 ,18 day euro2004 kickoff u kept inform latest news result daili unsubscrib send get euro stop 83222
1025,ham,are you available for soiree on june 3rd ,avail soire june 3rd
1026,ham,do u noe wat time e place dat sells 4d closes ,u noe wat time e place dat sell 4d close
1027,ham,i got another job  the one at the hospital doing data analysis or something  starts on monday  not sure when my thesis will got finished,got anoth job one hospit data analysi someth start monday sure thesi got finish
1028,ham,jay s getting really impatient and belligerent,jay get realli impati belliger
1029,ham,hiya comin 2 bristol 1 st week in april  les got off   rudi on new yrs eve but i was snoring they were drunk  u bak at college yet  my work sends ink 2 bath ,hiya comin 2 bristol 1 st week april le got rudi new yr eve snore drunk u bak colleg yet work send ink 2 bath
1030,ham,i m at work  please call,work pleas call
1031,ham,then u drive lor ,u drive lor
1032,ham,ard 515 like dat  y ,ard 515 like dat
1033,ham,tell me they re female  v how re you throwing in  we re deciding what all to get now,tell femal v throw decid get
1034,spam,eastenders tv quiz  what flower does dot compare herself to  d  violet e  tulip f  lily txt d e or f to 84025 now 4 chance 2 win   100 cash wkent 150p16 ,eastend tv quiz flower dot compar violet e tulip f lili txt e f 84025 4 chanc 2 win 100 cash wkent 150p16
1035,ham,i m working technical support   voice process networking field ,work technic support voic process network field
1036,ham,i might come to kerala for 2 days so you can be prepared to take a leave once i finalise  dont plan any travel during my visit need to finish urgent works ,might come kerala 2 day prepar take leav finalis dont plan travel visit need finish urgent work
1037,ham,ok  not sure what time tho as not sure if can get to library before class  will try  see you at some point  have good eve ,ok sure time tho sure get librari class tri see point good eve
1038,spam,we have new local dates in your area   lots of new people registered in your area  reply date to start now  18 only www flirtparty us replys150,new local date area lot new peopl regist area repli date start 18 www flirtparti us replys150
1039,ham,that s fine  i ll bitch at you about it later then,fine bitch later
1040,ham,no my mum went 2 dentist ,mum went 2 dentist
1041,ham,once free call me sir  i am waiting for you ,free call sir wait
1042,ham,meeting u is my work      tel me when shall i do my work tomorrow,meet u work tel shall work tomorrow
1043,spam,someone u know has asked our dating service 2 contact you  cant guess who  call 09058091854 now all will be revealed  po box385 m6 6wu,someon u know ask date servic 2 contact cant guess call 09058091854 reveal po box385 m6 6wu
1044,ham,jus finish bathing   ,ju finish bath
1045,ham,alright  i ll make sure the car is back tonight,alright make sure car back tonight
1046,spam,urgent  we are trying to contact u  todays draw shows that you have won a   800 prize guaranteed  call 09050003091 from land line  claim c52  valid12hrs only,urgent tri contact u today draw show 800 prize guarante call 09050003091 land line claim c52 valid12hr
1047,spam,dear u ve been invited to xchat  this is our final attempt to contact u  txt chat to 86688,dear u invit xchat final attempt contact u txt chat 86688
1048,ham,lul im gettin some juicy gossip at the hospital  two nurses are talking about how fat they are gettin  and one thinks shes obese  oyea ,lul im gettin juici gossip hospit two nurs talk fat gettin one think she obes oyea
1049,ham,aight ill get on fb in a couple minutes,aight ill get fb coupl minut
1050,ham,oi  ami parchi na re  kicchu kaaj korte iccha korche na  phone ta tul na  plz  plz ,oi ami parchi na kicchu kaaj kort iccha korch na phone ta tul na plz plz
1051,ham,where can download clear movies  dvd copies ,download clear movi dvd copi
1052,ham,yep  by the pretty sculpture,yep pretti sculptur
1053,ham,convey my regards to him,convey regard
1054,ham,me too watching surya movie only     after 6 pm vijay movie pokkiri,watch surya movi 6 pm vijay movi pokkiri
1055,ham,you tell what happen dont behave like this to me  ok no need to say,tell happen dont behav like ok need say
1056,ham,can u get pic msgs to your phone ,u get pic msg phone
1057,ham,send to someone else    ,send someon els
1058,ham,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem   ,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem
1059,ham,for me the love should start with attraction i should feel that i need her every time around me she should be the first thing which comes in my thoughts i would start the day and end it with her she should be there every time i dream love will be then when my every breath has her name my life should happen around her my life will be named to her i would cry for her will give all my happiness and take all her sorrows i will be ready to fight with anyone for her i will be in love when i will be doing the craziest things for her love will be when i don t have to proove anyone that my girl is the most beautiful lady on the whole planet i will always be singing praises for her love will be when i start up making chicken curry and end up makiing sambar life will be the most beautiful then will get every morning and thank god for the day because she is with me i would like to say a lot  will tell later  ,love start attract feel need everi time around first thing come thought would start day end everi time dream love everi breath name life happen around life name would cri give happi take sorrow readi fight anyon love craziest thing love proov anyon girl beauti ladi whole planet alway sing prais love start make chicken curri end maki sambar life beauti get everi morn thank god day would like say lot tell later
1060,ham,fr ndship is like a needle of a clock  though v r in d same clock  v r nt able 2 met  evn if v meet itz only 4few seconds  bt v alwys stay conected  gud 9t   ,fr ndship like needl clock though v r clock v r nt abl 2 met evn v meet itz 4few second bt v alwi stay conect gud 9t
1061,ham,i don t think he has spatula hands ,think spatula hand
1062,ham,you can never do nothing,never noth
1063,spam,you are awarded a sipix digital camera  call 09061221061 from landline  delivery within 28days  t cs box177  m221bp  2yr warranty  150ppm  16   p p  3 99,award sipix digit camera call 09061221061 landlin deliveri within 28day cs box177 m221bp 2yr warranti 150ppm 16 p p 3 99
1064,ham,goodmorning today i am late for   lt decimal gt  min ,goodmorn today late lt decim gt min
1065,spam,win urgent  your mobile number has been awarded with a   2000 prize guaranteed call 09061790121 from land line  claim 3030 valid 12hrs only 150ppm ,win urgent mobil number award 2000 prize guarante call 09061790121 land line claim 3030 valid 12hr 150ppm
1066,ham,please da call me any mistake from my side sorry da  pls da goto doctor ,pleas da call mistak side sorri da pl da goto doctor
1067,ham,where r we meeting ,r meet
1068,ham,well the weather in cali s great  but its complexities are great  you need a car to move freely  its taxes are outrageous  but all in all its a great place  the sad part is i missing home ,well weather cali great complex great need car move freeli tax outrag great place sad part miss home
1069,ham,now only i reached home      i am very tired now    i will come tomorro,reach home tire come tomorro
1070,ham,ryder unsold now gibbs ,ryder unsold gibb
1071,spam,dear subscriber ur draw 4   100 gift voucher will b entered on receipt of a correct ans  when was elvis presleys birthday  txt answer to 80062,dear subscrib ur draw 4 100 gift voucher b enter receipt correct an elvi presley birthday txt answer 80062
1072,ham,don t fret  i ll buy the ovulation test strips and send them to you  you wont get them til like march  can you send me your postal address u ll be alright okay ,fret buy ovul test strip send wont get til like march send postal address u alright okay
1073,ham,no gifts   you trying to get me to throw myself off a cliff or something ,gift tri get throw cliff someth
